1,5,1
1,8,1
1,10,1
1,12,1
1,17,-1
1,19,-1
1,20,-1
1,22,-1
1,23,-1
1,25,-1
1,26,1
1,28,1
1,29,1
1,31,1
1,36,1
1,47,-1
1,49,1
1,50,1
1,51,-1
1,52,-1
1,56,1
1,59,-1
1,60,-1
1,61,1
1,62,1
1,63,-1
1,68,1
1,73,1
2,3,1
2,4,-1
2,7,-1
2,10,-1
2,11,1
2,13,1
2,17,-1
2,18,-1
2,19,-1
2,21,-1
2,24,-1
2,30,-1
2,31,-1
2,33,-1
2,34,1
2,35,1
2,38,-1
2,40,-1
2,43,-1
2,44,1
2,48,-1
2,51,-1
2,53,-1
2,55,-1
2,57,1
2,60,-1
2,64,-1
2,65,-1
2,69,-1
2,70,-1
2,75,-1
2,76,1
2,77,-1
2,78,-1
2,80,1
2,81,1
2,82,-1
2,83,1
2,84,-1
2,85,-1
2,91,1
2,92,1
2,93,1
2,94,1
2,95,1
2,97,1
2,99,1
2,100,-1
3,1,1
3,2,1
3,7,-1
3,8,-1
3,10,-1
3,11,1
3,12,1
3,16,-1
3,20,-1
3,21,1
3,22,1
3,27,1
3,29,1
3,32,1
3,36,1
3,39,-1
3,40,1
3,43,-1
3,45,-1
3,47,1
3,50,1
3,51,1
3,52,1
3,55,-1
3,66,-1
3,67,1
3,68,1
3,98,1
4,5,1
4,8,-1
4,16,-1
4,18,-1
4,19,1
4,20,-1
4,23,-1
4,26,1
4,31,1
4,32,1
4,34,-1
4,35,1
4,39,1
4,47,1
4,49,1
4,50,1
4,61,1
4,62,1
4,83,1
4,84,1
5,6,1
5,8,1
5,12,1
5,13,-1
5,15,1
5,20,-1
5,21,-1
5,23,-1
5,27,1
5,28,-1
5,31,1
5,32,-1
5,39,1
5,42,1
5,46,1
5,48,1
5,53,-1
5,55,-1
5,61,1
5,65,-1
5,70,-1
5,80,1
6,3,1
6,4,1
6,6,-1
6,7,-1
6,8,-1
6,10,1
6,11,-1
6,13,-1
6,14,1
6,15,-1
6,16,-1
6,17,-1
6,18,-1
6,25,1
6,29,-1
6,32,-1
6,33,-1
6,34,1
6,39,-1
6,42,-1
6,44,-1
6,45,-1
6,46,-1
6,48,-1
6,49,-1
6,50,-1
6,52,-1
6,53,-1
6,54,-1
6,55,1
6,58,-1
6,60,-1
6,62,-1
6,63,-1
6,64,-1
6,65,-1
6,66,-1
6,67,-1
6,68,-1
6,70,1
6,82,-1
7,1,1
7,2,-1
7,3,-1
7,5,1
7,6,-1
7,8,-1
7,9,-1
7,10,1
7,11,-1
7,12,-1
7,17,1
7,18,-1
7,19,-1
7,20,1
7,22,1
7,26,1
7,28,-1
7,31,-1
7,33,-1
7,36,1
7,38,1
7,39,1
7,41,1
7,42,-1
7,43,-1
7,44,1
7,45,-1
7,47,-1
7,50,1
7,51,1
7,52,-1
7,53,1
7,55,-1
7,56,1
7,57,-1
7,60,-1
7,63,-1
7,65,1
7,67,1
7,70,1
7,94,-1
8,1,1
8,2,-1
8,6,1
8,8,1
8,9,1
8,12,1
8,15,1
8,17,-1
8,18,-1
8,19,-1
8,20,-1
8,21,1
8,22,1
8,26,1
8,27,1
8,29,-1
8,30,1
8,32,1
8,33,1
8,34,1
8,38,1
8,39,1
8,40,1
8,44,1
8,46,1
8,49,1
8,50,-1
8,51,1
8,52,1
8,53,1
8,55,-1
8,56,-1
8,58,-1
8,60,1
8,61,1
8,66,1
8,67,1
8,68,1
8,69,-1
8,70,-1
8,82,-1
9,4,-1
9,5,-1
9,9,-1
9,12,-1
9,16,-1
9,17,-1
9,18,-1
9,19,-1
9,20,-1
9,21,-1
9,22,-1
9,26,-1
9,27,1
9,28,-1
9,30,-1
9,31,-1
9,32,1
9,34,-1
9,36,1
9,38,-1
9,39,-1
9,41,-1
9,42,-1
9,43,-1
9,44,-1
9,45,1
9,49,1
9,50,1
9,51,-1
9,58,-1
9,59,-1
9,61,1
9,63,-1
9,64,-1
9,66,-1
9,67,-1
9,69,1
9,70,-1
9,76,1
10,1,1
10,2,1
10,3,-1
10,5,1
10,7,1
10,8,1
10,11,1
10,12,1
10,13,-1
10,14,1
10,16,-1
10,17,-1
10,18,1
10,21,1
10,26,1
10,32,1
10,33,-1
10,35,1
10,39,-1
10,40,1
10,41,-1
10,42,-1
10,44,-1
10,46,-1
10,48,-1
10,49,1
10,51,1
10,52,1
10,54,1
10,55,-1
10,56,1
10,57,-1
10,61,-1
10,67,-1
10,70,-1
10,71,-1
10,72,1
10,74,-1
10,75,-1
10,79,-1
10,81,1
10,84,-1
10,85,-1
10,87,-1
10,91,-1
10,93,-1
10,94,1
10,95,1
11,5,-1
11,7,1
11,11,1
11,12,1
11,13,1
11,18,1
11,19,1
11,21,1
11,25,-1
11,32,1
11,33,1
11,36,1
11,39,-1
11,41,-1
11,46,-1
11,48,-1
11,50,1
11,56,1
11,59,-1
11,61,1
11,62,1
11,68,1
11,77,1
11,94,1
12,2,1
12,7,-1
12,8,-1
12,11,1
12,13,-1
12,14,-1
12,16,-1
12,19,1
12,20,-1
12,21,1
12,27,1
12,29,1
12,32,1
12,41,1
12,42,1
12,46,1
12,48,1
12,50,1
12,55,1
12,60,-1
12,62,1
12,63,-1
12,65,1
12,66,-1
12,69,1
12,70,-1
12,82,1
13,4,-1
13,5,1
13,6,1
13,7,-1
13,9,1
13,10,1
13,11,1
13,13,-1
13,14,1
13,18,-1
13,19,-1
13,21,1
13,22,1
13,23,1
13,24,1
13,27,1
13,28,-1
13,30,1
13,31,1
13,38,1
13,39,1
13,40,1
13,41,1
13,42,1
13,44,1
13,45,1
13,48,-1
13,52,1
13,56,1
13,57,1
13,60,-1
13,62,1
13,63,-1
13,66,1
13,68,-1
13,69,1
13,78,1
13,80,1
13,83,-1
13,84,-1
13,89,1
13,90,-1
13,92,1
13,94,-1
13,100,-1
14,5,1
